NAME,population_total,white/non_hispanic,gini_index,median_income,poverty_denominator,poverty_count,transit_commuters,state,county,tract,GEOID,year,%_white_nonhisp,poverty_rate
"Census Tract 230.03, San Francisco County, California",4387.0,573.0,0.4262,81569.0,4314.0,619.0,401.0,06,075,023003,06075023003,2015,0.1306131752906314,0.14348632359758925
"Census Tract 264.03, San Francisco County, California",3655.0,141.0,0.4293,50372.0,3583.0,570.0,609.0,06,075,026403,06075026403,2015,0.038577291381668946,0.1590845660061401
"Census Tract 302.01, San Francisco County, California",4233.0,2548.0,0.4022,89821.0,4210.0,361.0,859.0,06,075,030201,06075030201,2015,0.6019371604063312,0.08574821852731591
"Census Tract 303.02, San Francisco County, California",4171.0,1708.0,0.4318,132417.0,4171.0,402.0,624.0,06,075,030302,06075030302,2015,0.4094941261088468,0.09637976504435387
"Census Tract 304, San Francisco County, California",5373.0,2569.0,0.5069,150221.0,5373.0,408.0,936.0,06,075,030400,06075030400,2015,0.4781313977293877,0.07593523171412618
"Census Tract 264.04, San Francisco County, California",2377.0,49.0,0.4852,41890.0,2377.0,385.0,338.0,06,075,026404,06075026404,2015,0.020614219604543543,0.16196886832141355
"Census Tract 306, San Francisco County, California",2243.0,1238.0,0.4885,145625.0,2236.0,48.0,209.0,06,075,030600,06075030600,2015,0.5519393669193045,0.02146690518783542
"Census Tract 310, San Francisco County, California",3674.0,1670.0,0.3935,122391.0,3674.0,199.0,431.0,06,075,031000,06075031000,2015,0.45454545454545453,0.05416439847577572
"Census Tract 332.01, San Francisco County, California",3967.0,1714.0,0.5403,22250.0,1531.0,776.0,510.0,06,075,033201,06075033201,2015,0.43206453239223597,0.5068582625734814
"Census Tract 111, San Francisco County, California",4940.0,2994.0,0.4743,72500.0,4931.0,547.0,1345.0,06,075,011100,06075011100,2015,0.6060728744939271,0.11093084567024944
"Census Tract 117, San Francisco County, California",1635.0,530.0,0.6616,34914.0,1583.0,399.0,318.0,06,075,011700,06075011700,2015,0.3241590214067278,0.2520530638029059
"Census Tract 428, San Francisco County, California",2491.0,1611.0,0.547,143864.0,2491.0,182.0,119.0,06,075,042800,06075042800,2015,0.6467282215977519,0.07306302689682859
"Census Tract 234, San Francisco County, California",2976.0,77.0,0.476,34464.0,2976.0,709.0,368.0,06,075,023400,06075023400,2015,0.025873655913978496,0.23823924731182797
"Census Tract 165, San Francisco County, California",5708.0,3588.0,0.4343,82232.0,5554.0,660.0,1165.0,06,075,016500,06075016500,2015,0.6285914505956552,0.11883327331652863
"Census Tract 307, San Francisco County, California",6952.0,3540.0,0.4079,120308.0,6952.0,398.0,654.0,06,075,030700,06075030700,2015,0.5092059838895282,0.05724971231300345
"Census Tract 351, San Francisco County, California",8691.0,2719.0,0.4239,99226.0,8635.0,849.0,1162.0,06,075,035100,06075035100,2015,0.31285237602117133,0.09832078749276202
"Census Tract 130, San Francisco County, California",4626.0,3680.0,0.4345,145871.0,4613.0,376.0,946.0,06,075,013000,06075013000,2015,0.7955036748811067,0.08150877953609365
"Census Tract 260.02, San Francisco County, California",3497.0,866.0,0.4645,84063.0,3239.0,186.0,749.0,06,075,026002,06075026002,2015,0.2476408350014298,0.05742513121333745
"Census Tract 264.02, San Francisco County, California",4407.0,477.0,0.3525,80395.0,4353.0,322.0,602.0,06,075,026402,06075026402,2015,0.10823689584751532,0.07397197335171146
"Census Tract 303.01, San Francisco County, California",6101.0,2678.0,0.4701,109670.0,6044.0,435.0,911.0,06,075,030301,06075030301,2015,0.4389444353384691,0.07197220383851753
"Census Tract 308, San Francisco County, California",5681.0,2872.0,0.4631,131699.0,5624.0,181.0,1183.0,06,075,030800,06075030800,2015,0.505544798450977,0.03218349928876245
"Census Tract 254.02, San Francisco County, California",3080.0,1598.0,0.4093,137721.0,3080.0,180.0,559.0,06,075,025402,06075025402,2015,0.5188311688311689,0.05844155844155844
"Census Tract 262, San Francisco County, California",7746.0,751.0,0.3942,75060.0,7714.0,666.0,1087.0,06,075,026200,06075026200,2015,0.09695326620191067,0.08633653098262899
"Census Tract 216, San Francisco County, California",4395.0,2391.0,0.4755,115500.0,4395.0,348.0,976.0,06,075,021600,06075021600,2015,0.5440273037542662,0.07918088737201365
"Census Tract 309, San Francisco County, California",6788.0,3063.0,0.4421,145363.0,6765.0,638.0,654.0,06,075,030900,06075030900,2015,0.45123747790218033,0.0943089430894309
"Census Tract 479.01, San Francisco County, California",6865.0,2806.0,0.5181,66437.0,6843.0,589.0,870.0,06,075,047901,06075047901,2015,0.4087399854333576,0.08607335963758585
"Census Tract 313.02, San Francisco County, California",6376.0,815.0,0.4207,66658.0,6334.0,1302.0,1189.0,06,075,031302,06075031302,2015,0.12782308657465496,0.2055573097568677
"Census Tract 326.01, San Francisco County, California",4638.0,1694.0,0.393,92846.0,4638.0,303.0,1035.0,06,075,032601,06075032601,2015,0.3652436394997844,0.06532988357050452
"Census Tract 326.02, San Francisco County, California",4523.0,1524.0,0.429,70560.0,4494.0,579.0,635.0,06,075,032602,06075032602,2015,0.3369445058589432,0.1288384512683578
"Census Tract 328.01, San Francisco County, California",4171.0,1119.0,0.4341,83669.0,4019.0,369.0,587.0,06,075,032801,06075032801,2015,0.26828098777271636,0.0918138840507589
"Census Tract 328.02, San Francisco County, California",4060.0,786.0,0.4077,80610.0,4043.0,388.0,648.0,06,075,032802,06075032802,2015,0.1935960591133005,0.0959683403413307
"Census Tract 329.01, San Francisco County, California",5608.0,1440.0,0.4467,83309.0,5533.0,471.0,831.0,06,075,032901,06075032901,2015,0.25677603423680456,0.0851256099765046
"Census Tract 329.02, San Francisco County, California",4264.0,939.0,0.4696,89568.0,4246.0,600.0,404.0,06,075,032902,06075032902,2015,0.22021575984990618,0.1413094677343382
"Census Tract 332.03, San Francisco County, California",3935.0,1843.0,0.3886,67713.0,3935.0,1029.0,653.0,06,075,033203,06075033203,2015,0.46836086404066074,0.2614993646759847
"Census Tract 332.04, San Francisco County, California",3933.0,1283.0,0.5023,43412.0,3933.0,1423.0,642.0,06,075,033204,06075033204,2015,0.3262140859394864,0.36181032290872106
"Census Tract 426.01, San Francisco County, California",4027.0,1766.0,0.514,57472.0,4027.0,678.0,986.0,06,075,042601,06075042601,2015,0.43853985597218775,0.16836354606406753
"Census Tract 426.02, San Francisco County, California",3375.0,1624.0,0.4466,82013.0,3375.0,93.0,516.0,06,075,042602,06075042602,2015,0.48118518518518516,0.027555555555555555
"Census Tract 478.01, San Francisco County, California",4186.0,1577.0,0.4558,79130.0,4167.0,556.0,579.0,06,075,047801,06075047801,2015,0.37673196368848544,0.1334293256539477
"Census Tract 478.02, San Francisco County, California",4065.0,1192.0,0.4337,68333.0,3998.0,487.0,957.0,06,075,047802,06075047802,2015,0.2932349323493235,0.12181090545272637
"Census Tract 611, San Francisco County, California",4527.0,156.0,0.5344,16545.0,4527.0,1644.0,528.0,06,075,061100,06075061100,2015,0.03445990722332671,0.3631544068919814
"Census Tract 612, San Francisco County, California",4296.0,431.0,0.4299,51649.0,4235.0,680.0,442.0,06,075,061200,06075061200,2015,0.10032588454376164,0.16056670602125148
"Census Tract 614, San Francisco County, California",6140.0,2929.0,0.4593,138897.0,6140.0,997.0,822.0,06,075,061400,06075061400,2015,0.4770358306188925,0.16237785016286646
"Census Tract 477.01, San Francisco County, California",4259.0,1568.0,0.417,74412.0,4259.0,352.0,947.0,06,075,047701,06075047701,2015,0.36816154026766845,0.08264850903968067
"Census Tract 477.02, San Francisco County, California",4121.0,1559.0,0.4761,72930.0,4121.0,395.0,624.0,06,075,047702,06075047702,2015,0.3783062363504004,0.0958505217180296
"Census Tract 605.02, San Francisco County, California",3417.0,115.0,0.554,23072.0,3377.0,1410.0,479.0,06,075,060502,06075060502,2015,0.033655253146034535,0.41753035238377256
"Census Tract 607, San Francisco County, California",9979.0,3899.0,0.4605,107798.0,9589.0,1295.0,2816.0,06,075,060700,06075060700,2015,0.3907205130774627,0.13505057878819482
"Census Tract 479.02, San Francisco County, California",3722.0,1669.0,0.492,73625.0,3722.0,501.0,458.0,06,075,047902,06075047902,2015,0.44841483073616334,0.13460505104782375
"Census Tract 604, San Francisco County, California",1634.0,908.0,0.4575,52833.0,1634.0,347.0,187.0,06,075,060400,06075060400,2015,0.5556915544675642,0.21236230110159118
