"facility_id","common_name","address","city","zip_code","block_lot","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","supervisor_district","city_tenants"
"1075","Mccoppin Square Restrooms","2354 24th Ave","San Francisco","94116","2351001","Own","49","Recreation And Parks",,"-122.48090223599996","37.74352929200006","4",
"3486","McCoppin Square Storage Unit","24th & Taraval","San Francisco","94116","2351001","Own","49","Recreation And Parks",,"-122.47930539099997","37.744100407000076","4",
"1077","McLaren Lodge","501 Stanyan St","San Francisco","94117","1263011","Own","49","Recreation And Parks","4,964","-122.45450307099998","37.77217608900003","1",
"1078","McLaren Lodge Annex","501 Stanyan St","San Francisco","94117","1263011","Own","49","Recreation And Parks","12,288","-122.45494985199997","37.77230508700006","1",
"1079","McLaren maintenance building","University St & Woolsey St","San Francisco","94134","6190066","Own","49","Recreation And Parks",,"-122.41338374299994","37.72173764000007","9",
"1080","McLaren maintenance shed","University St & Woolsey St","San Francisco","94134","6190066","Own","49","Recreation And Parks",,"-122.41308664799999","37.72179887800007","9",
"1081","McLaren maintenance yard","University St & Woolsey St","San Francisco","94134","6190066","Own","49","Recreation And Parks",,"-122.41285102399996","37.72192978100003","9",
"2048","Mclaren Park Bathrooms","1100 Mansell St","San Francisco","94134","6190066","Own","49","Recreation And Parks",,"-122.41266359199994","37.719160352000074","9",
"1083","McLaren Park Caretaker's Cabin","John F Shelley Dr & Cambridge St","San Francisco","94134","6190066","Own","49","Recreation And Parks",,"-122.41648072199996","37.720623395000075","9",
"1084","Mclaren Park La Grande Tank","61 John F Shelley Dr","San Francisco","94134","6190066","Own","49","Recreation And Parks",,"-122.42420507599996","37.72312695800008","11",
"1085","Mclaren Park Mansell Clubhouse","1701 Visitacion Ave","San Francisco","94134","6190066","Own","49","Recreation And Parks",,"-122.41622166199994","37.71369383100006","10",
"1082","Mclaren Park - Wilde Tower","895 Mansell St","San Francisco","94134","6190066","Own","49","Recreation And Parks",,"-122.40992127599998","37.71874717600008","10",
"1088","Mclaren Upper Reservoir Water Tanks","1100 Mansell St","San Francisco","94134","6190066","Own","49","Recreation And Parks",,"-122.41914188799996","37.71805159300004","10",
"1094","Merced Heights Clubhouse","801 Shields St","San Francisco","94132","7078049","Own","49","Recreation And Parks","1,136","-122.47007230399998","37.71771849000004","11",
"1100","Michelangelo Gardeners Shed","1055 Greenwich St","San Francisco","94133","0093024","Own","49","Recreation And Parks",,"-122.41678040399995","37.80126911800005","3",
"1101","MICHELANGELO PLAYGROUND CTR","1055 Greenwich St","San Francisco","94133","0093024","Own","49","Recreation And Parks","629","-122.41693187399994","37.801214480000056","3",
"1105","Midtown Terrace Clubhouse","210 Olympia Way","San Francisco","94131","2736002","Own","49","Recreation And Parks","2,176","-122.45585129899996","37.751588552000044","7",
"1107","Millwright's House","2100 Martin Luther King Jr Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.50900831499996","37.77034555700004","1",
"1108","Minnie & Lovie Ward Rec Center","650 Capitol Ave","San Francisco","94112","7068001","Own","49","Recreation And Parks","18,565","-122.45817562899998","37.71626964400008","11",
"1109","Miraloma Clubhouse","25 Omar Way","San Francisco","94127","2955B001","Own","49","Recreation And Parks","1,352","-122.44941089399998","37.73916391000006","7",
"1120","Mission Community Pool","3555 19th St","San Francisco","94110","3597061","Own","49","Recreation And Parks",,"-122.42265676499994","37.75947939800005","9",
"1122","Mission Dolores Park Clubhouse","646 Dolores St","San Francisco","94110","3586001","Own","49","Recreation And Parks","2,100","-122.42686802499998","37.759575924000046","8",
"1127","Mission PG Clubhouse","3555 19th St","San Francisco","94110","3597061","Own","49","Recreation And Parks",,"-122.42248002699995","37.759537428000044","9",
"1129","Mission Rec Center","2450 Harrison St","San Francisco","94110","3612003","Own","49","Recreation And Parks","20,514","-122.41258602199997","37.75814873400003","9",
"1134","Model Yacht Clubhouse","John F Kennedy Dr & 36th Ave","San Francisco","94117","1263011","Own","49","Recreation And Parks","3,168","-122.49560091799998","37.770207603000074","1",
"1138","Moscone Bathrooms","1800 Chestnut St","San Francisco","94123","0469001","Own","49","Recreation And Parks","500","-122.43460643999998","37.80219691700006","2",
"1142","Moscone Fieldhouse and Bleachers","1800 Chestnut St","San Francisco","94123","0469001","Own","49","Recreation And Parks",,"-122.43392199999994","37.80274379000008","2",
"1143","Moscone Maintenance Facility","1800 Chestnut St","San Francisco","94123","0469001","Own","49","Recreation And Parks","1,200","-122.43285588899994","37.801560952000045","2",
"2049","Moscone Rec Center","1800 Chestnut St","San Francisco","94123","0469001","Own","49","Recreation And Parks","8,929","-122.43304599299995","37.80145337000005","2",
"2052","Mothers Meadow Bathroom","Martin Luther King Dr & 19th Ave","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.47668739299996","37.766398378000076","7",
"2054","Mountain Lake Park Bathrooms","1 11th Ave","San Francisco","94118","1345001","Own","49","Recreation And Parks","448","-122.47176622099994","37.78697414700008","1",
"2055","Mountain Lake Park Card Shelter","1 11th Ave","San Francisco","94118","1345001","Own","49","Recreation And Parks",,"-122.46832685099997","37.78747903300007","1",
"3473","MS Hayward Historic Clubhouse","1016 Laguna St","San Francisco","94102","0759001","Own","49","Recreation And Parks",,"-122.42671429999996","37.780747493000035","5",
"1177","Murphy Windmill","2100 Martin Luther King Jr Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","2,640","-122.50868981499997","37.76497993100003","4",
"1178","Murphy Windmill Pump Station","Martin Luther King Dr & Lincoln Way","San Francisco","94117","1263011","Own","49","Recreation And Parks","500","-122.50843094599998","37.76516858800005","4",
"1179","Music Concourse","50 Hagiwara Tea Garden Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.46788277799999","37.77033578000004","7",
"1180","Music Concourse Garage","10th Ave & Fulton St","San Francisco","94122","1263011","Own","49","Recreation And Parks","300,000","-122.46748755899995","37.77063553200003","7",
"1185","Noe Valley Courts Bathrooms","780 Douglass St","San Francisco","94114","2829001","Own","49","Recreation And Parks","390","-122.43920196699997","37.751480566000055","8",
"2064","North Beach Swimming Pool","651 Lombard St","San Francisco","94133","0075001","Own","49","Recreation And Parks","12,283","-122.41231917399995","37.80279643600005","3",
"1366","North Deep Well Pump Station","Fulton St & Chain of Lakes Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","500","-122.50590553099994","37.771245031000035","1",
"1193","Nursery Bathrooms","100 Martin Luther King Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.46235822899996","37.76850063000006","7",
"1194","Nursery Cold Frames","100 Martin Luther King Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.46226988099994","37.76868561600003","7",
"3072","NURSERY-COLD HOUSE","100 Martin Luther King Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.46231568899998","37.76864642700008","7",
"3073","NURSERY-HOT HOUSE","100 Martin Luther King Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.46215383699996","37.768329315000074","7",
"1195","Nursery Potting Sheds","100 Martin Luther King Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.46104701099995","37.76833210900003","7",
"1196","Nursery Shade Houses","100 Martin Luther King Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.46204837599998","37.76809895400004","7",
"3071","Nursery Storage Sheds*","100 Martin Luther King Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.46120279899998","37.76739270000007","7",
"1215","Paint & Carpentry Shop","100 Martin Luther King Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","1,200","-122.46251106599999","37.768630933000054","7",
"1219","Palace Of Fine Arts","3601 Lyon St","San Francisco","94123","0916002","Own","49","Recreation And Parks",,"-122.44916839499996","37.80281810500003","2",
"3075","Palace Of Fine Arts - Rotunda","3601 Lyon St","San Francisco","94123","0916002","Own","49","Recreation And Parks",,"-122.44841429099995","37.802898551000055","2",
"1220","Palace of Fine Arts -Theater","3601 Lyon St","San Francisco","94123","0916002","Own","49","Recreation And Parks","28,300","-122.44916839499996","37.80281810500003","2",
"1223","Palega Recreation Center","500 Felton St","San Francisco","94134","5929001","Own","49","Recreation And Parks","16,978","-122.409679988","37.72908430100006","9",
"1224","Palega Storage Shed","500 Felton St","San Francisco","94134","5929001","Own","49","Recreation And Parks",,"-122.41027279199994","37.72921318500005","9",
